Date;Power
2024-04-12 12:43:00;193.2007123836726
2024-04-12 12:44:00;193.29422818546115
2024-04-12 12:45:00;193.38519266126048
2024-04-12 12:46:00;193.47365966550464
2024-04-12 12:47:00;193.55968421296575
2024-04-12 12:48:00;193.64332242962985
2024-04-12 12:49:00;193.7246314963683
2024-04-12 12:50:00;193.8036695854788
2024-04-12 12:51:00;193.8804958438941
2024-04-12 12:52:00;193.9551700812884
2024-04-12 12:53:00;194.027753023645
2024-04-12 12:54:00;194.09830597503316
2024-04-12 12:55:00;194.16689075846892
2024-04-12 12:56:00;194.2335695821824
2024-04-12 12:57:00;194.2984048913615
2024-04-12 12:58:00;194.36145920139305
2024-04-12 12:59:00;194.4227949115199
2024-04-12 13:00:00;194.48247409751696
2024-04-12 13:01:00;194.52609615195917
